"X"	"DE"
"320"	"ENSG00000233078"	TRUE
"321"	"ENSG00000173641"	FALSE
"322"	"ENSG00000186510"	FALSE
"323"	"ENSG00000184908"	FALSE
"324"	"ENSG00000185519"	FALSE
"325"	"ENSG00000142627"	TRUE
"326"	"ENSG00000227959"	FALSE
"327"	"ENSG00000234166"	TRUE
"328"	"ENSG00000142632"	TRUE
"329"	"ENSG00000237276"	TRUE
"330"	"ENSG00000204377"	FALSE
"331"	"ENSG00000132881"	FALSE
"332"	"ENSG00000233929"	TRUE
"333"	"ENSG00000037637"	FALSE
"334"	"ENSG00000055070"	FALSE
"335"	"ENSG00000226457"	FALSE
"336"	"ENSG00000187144"	FALSE
"337"	"ENSG00000157191"	FALSE
"338"	"ENSG00000226029"	FALSE
"339"	"ENSG00000080947"	FALSE
"340"	"ENSG00000261135"	FALSE
"341"	"ENSG00000224174"	FALSE
"342"	"ENSG00000233421"	FALSE
"343"	"ENSG00000225710"	FALSE
"344"	"ENSG00000219481"	TRUE
"345"	"ENSG00000215908"	FALSE
"346"	"ENSG00000186301"	TRUE
"347"	"ENSG00000207513"	FALSE
"348"	"ENSG00000237847"	FALSE
"349"	"ENSG00000236698"	FALSE
"350"	"ENSG00000268869"	TRUE
"351"	"ENSG00000268991"	FALSE
"352"	"ENSG00000058453"	TRUE
"353"	"ENSG00000227684"	FALSE
"354"	"ENSG00000186715"	FALSE
"355"	"ENSG00000223643"	FALSE
"356"	"ENSG00000230239"	FALSE
"357"	"ENSG00000228549"	FALSE
"358"	"ENSG00000238142"	FALSE
"359"	"ENSG00000235241"	FALSE
"360"	"ENSG00000272426"	FALSE
"361"	"ENSG00000117122"	FALSE
"362"	"ENSG00000226526"	FALSE
"363"	"ENSG00000159363"	FALSE
"364"	"ENSG00000117118"	FALSE
"365"	"ENSG00000117115"	FALSE
"366"	"ENSG00000142623"	FALSE
"367"	"ENSG00000142619"	TRUE
"368"	"ENSG00000266634"	FALSE
"369"	"ENSG00000159339"	FALSE
"370"	"ENSG00000269468"	FALSE
"371"	"ENSG00000256049"	FALSE
"372"	"ENSG00000227751"	FALSE
"373"	"ENSG00000179051"	FALSE
"374"	"ENSG00000074964"	TRUE
"375"	"ENSG00000117148"	FALSE
"376"	"ENSG00000179023"	TRUE
"377"	"ENSG00000235282"	FALSE
"378"	"ENSG00000159423"	FALSE
"379"	"ENSG00000169991"	TRUE
"380"	"ENSG00000272084"	FALSE
"381"	"ENSG00000127481"	FALSE
"382"	"ENSG00000266098"	FALSE
